Index,Gamma,Radial_R,Theta_Rad,Vertical_Z
1,14.134725141734695,7.365911238154052,11.101387166446166,7.056276591943515
2,21.022039638771556,7.365911238154052,16.51067132315954,10.494532064156406
3,25.01085758014569,7.365911238154052,19.643481608441572,12.485812572762628
4,30.424876125859512,7.365911238154052,23.895641830844934,15.188575587210607
5,32.93506158773919,7.365911238154052,25.86713688239221,16.441699559448296
6,37.586178158825675,7.365911238154052,29.52011529507097,18.763609936754037
7,40.9187190121475,7.365911238154052,32.1374867607169,20.427266624747073
8,43.327073280915,7.365911238154052,34.029003780217295,21.62955486745469
9,48.00515088116716,7.365911238154052,37.703157335686086,23.964924613590654
10,49.7738324776723,7.365911238154052,39.092276613216086,24.847878220602844
11,52.970321477714464,7.365911238154052,41.60279320316935,26.44361568852182
12,56.44624769706339,7.365911238154052,44.33277927195103,28.178852601229448
13,59.34704400260235,7.365911238154052,46.61105936271144,29.626975636061854
14,60.83177852460981,7.365911238154052,47.77716712942888,30.368178407805736
15,65.1125440480816,7.365911238154052,51.139272509498745,32.50520373061762
16,67.07981052949417,7.365911238154052,52.684359990913535,33.48729402835672
17,69.54640171117398,7.365911238154052,54.6216161748572,34.718655051840024
18,72.0671576744819,7.365911238154052,56.60141327881241,35.97705598426231
19,75.70469069908393,7.365911238154052,59.4583250356324,37.79296955007578
20,77.1448400688748,7.365911238154052,60.58941570568415,38.51191471420582
21,79.33737502024937,7.365911238154052,62.311428629678446,39.60646256704817
22,82.91038085408603,7.365911238154052,65.11766084938212,41.39016314667507
23,84.73549298051705,7.365911238154052,66.55110056147547,42.30128775973048
24,87.42527461312523,7.365911238154052,68.66365011566612,43.644068958607285
25,88.80911120763446,7.365911238154052,69.75051283543584,44.334901901660324
26,92.49189927055849,7.365911238154052,72.64296781623842,46.173407492743266
27,94.65134404051989,7.365911238154052,74.33899177252434,47.25143620777518
28,95.87063422824531,7.365911238154052,75.2966200466124,47.860125002510195
29,98.83119421819369,7.365911238154052,77.62183842534583,49.33808300640764
30,101.31785100573138,7.365911238154052,79.57485409927774,50.57946109520339
31,103.72553804047834,7.365911238154052,81.46584707440384,51.78141624421775
32,105.44662305232609,7.365911238154052,82.81758408175995,52.64060888928645
33,107.1686111842764,7.365911238154052,84.17003039798593,53.50025238608206
34,111.02953554316967,7.365911238154052,87.20239329847716,55.42768641141603
35,111.87465917699264,7.365911238154052,87.8661518483255,55.849585391045665
36,114.32022091545271,7.365911238154052,89.7868915461871,57.070448186481016
37,116.22668032085755,7.365911238154052,91.28422126178387,58.02218263769637
38,118.79078286597621,7.365911238154052,93.29806269148278,59.30222286395033
39,121.37012500242065,7.365911238154052,95.3238732682199,60.58987093333279
40,122.94682929355258,7.365911238154052,96.56221392269579,61.376986457007256
41,124.25681855434577,7.365911238154052,97.59107708219314,62.03095365226168
42,127.5166838795965,7.365911238154052,100.15136932156808,63.658329576221945
43,129.57870419995606,7.365911238154052,101.77087629406671,64.68772247723449
44,131.08768853093267,7.365911238154052,102.95602981621126,65.4410311341422
45,133.4977372029976,7.365911238154052,104.84887761694952,66.64416524956435
46,134.75650975337388,7.365911238154052,105.83751526615016,67.27256425928935
47,138.11604205453344,7.365911238154052,108.4760857653553,68.94969550159104
48,139.7362089521214,7.365911238154052,109.74856187111821,69.75850824042075
49,141.12370740402113,7.365911238154052,110.83830060695708,70.45116924014475
50,143.11184580762063,7.365911238154052,112.39978085772405,71.44367912896041
51,146.0009824867655,7.365911238154052,114.66890349932864,72.8859814953348
52,147.42276534255961,7.365911238154052,115.78556914301932,73.59575780747151
53,150.05352042078488,7.365911238154052,117.85175934980595,74.90907202415951
54,150.92525761224147,7.365911238154052,118.5364201389412,75.34425690937807
55,153.0246938111989,7.365911238154052,120.18531347377248,76.3923284041142
56,156.11290929423788,7.365911238154052,122.61079224232687,77.93401403332419
57,157.59759181759406,7.365911238154052,123.7768591693991,78.6751908465254
58,158.8499881714205,7.365911238154052,124.76048896554005,79.30040675887786
59,161.18896413759603,7.365911238154052,126.59751639360508,80.46806026425173
60,163.030709687182,7.365911238154052,128.04401996569533,81.38748854315668
61,165.5370691879004,7.365911238154052,130.0125101143733,82.63870253554592
62,167.1844399781745,7.365911238154052,131.30635210748918,83.46109588448627
63,169.09451541556882,7.365911238154052,132.80652184796926,84.41463551561333
64,169.9119764794117,7.365911238154052,133.4485542661604,84.82272490622965
65,173.41153651959155,7.365911238154052,136.19710229441674,86.56976019315645
66,174.75419152336573,7.365911238154052,137.25162106845738,87.2400346398957
67,176.44143429771043,7.365911238154052,138.5767784446333,88.08233270895269
68,178.37740777609997,7.365911238154052,140.09728845894662,89.04880104853493
69,179.916484020257,7.365911238154052,141.3060761144362,89.81713206070265
70,182.20707848436646,7.365911238154052,143.10510479963614,90.96063276104576
71,184.8744678483875,7.365911238154052,145.20006750720415,92.29223538806585
72,185.59878367770747,7.365911238154052,145.76894382927176,92.65382521597937
73,187.22892258350186,7.365911238154052,147.0492519319654,93.46761613778583
74,189.41615865601693,7.365911238154052,148.76710312623538,94.55951870715184
75,192.0266563607138,7.365911238154052,150.81738322905753,95.86272012509706
76,193.0797266038457,7.365911238154052,151.64446266394185,96.38842931517843
77,195.26539667952923,7.365911238154052,153.36108392717645,97.47955011435262
78,196.87648184095832,7.365911238154052,154.62642725403975,98.28382910798183
79,198.01530967625192,7.365911238154052,155.52086054430524,98.85234983377286
80,201.2647519437038,7.365911238154052,158.07296653322797,100.474522403722
81,202.49359451414054,7.365911238154052,159.03809723115359,101.08797989780189
82,204.18967180310455,7.365911238154052,160.37019321888604,101.93468829518746
83,205.3946972021633,7.365911238154052,161.31661795415405,102.53625588357794
84,207.90625888780622,7.365911238154052,163.2891938893174,103.79006688831385
85,209.57650971685626,7.365911238154052,164.60100582286637,104.62388231164323
86,211.6908625953653,7.365911238154052,166.26161469042148,105.6794004468831
87,213.34791935971268,7.365911238154052,167.56306402978524,106.5066291860725
88,214.54704478349143,7.365911238154052,168.50485493530425,107.10525141422119
89,216.1695385082637,7.365911238154052,169.77915852686428,107.91522574169372
90,219.0675963490214,7.365911238154052,172.05528783241493,109.36198169193551
91,220.714918839314,7.365911238154052,173.34909189081407,110.18435092876717
92,221.43070555469333,7.365911238154052,173.91126946245728,110.54168288916323
93,224.00700025460432,7.365911238154052,175.93468658813796,111.82780963040803
94,224.9833246695823,7.365911238154052,176.70148999054175,112.31520609878437
95,227.4214442796793,7.365911238154052,178.61638465445523,113.53235366695948
96,229.33741330552536,7.365911238154052,180.12118320848114,114.48883546992344
97,231.25018870049917,7.365911238154052,181.6234734906854,115.44372296224172
98,231.98723525318024,7.365911238154052,182.20234849949952,115.8116681670268
99,233.6934041789083,7.365911238154052,183.54237044021215,116.66341446784229
100,236.5242296658162,7.365911238154052,185.7656955785283,118.07660697203652
